statement,truth_value,category,source
El asteroide (2020 JB1) tiene un diámetro aproximado de 0.03 km,verdadero,astronomia,nasa
47 + 43 + 24 = 123,falso,matematicas,variaciones_matematicas
47 ÷ 62 = 0,verdadero,matematicas,variaciones_matematicas
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
94 ÷ 53 = 1,verdadero,matematicas,variaciones_matematicas
El corazón humano late 60-100 veces por minuto,verdadero,ciencia,generador_masivo
164 + 82 = 266,falso,matematicas,variaciones_matematicas
8 + 41 = 51,falso,matematicas,generador_masivo
44 ÷ 14 = 17,falso,matematicas,variaciones_matematicas
(150 + 31) × 43 = 7783,verdadero,matematicas,variaciones_matematicas
71 ÷ 21 = 3,verdadero,matematicas,generador_masivo
159 × 5 = 815,falso,matematicas,variaciones_matematicas
"Alemania tiene una población de 83,190,556 habitantes",verdadero,geografia,generador_masivo
Napoleón fue emperador de Francia,verdadero,historia,basico
8 + 41 = 49,verdadero,matematicas,generador_masivo
52 ÷ 51 = 16,falso,matematicas,variaciones_matematicas
√5625 = 75,verdadero,matematicas,variaciones_matematicas
√12100 = 110,verdadero,matematicas,variaciones_matematicas
181 ÷ 19 = 9,verdadero,matematicas,variaciones_matematicas
28 - 42 = -5,falso,matematicas,generador_masivo
La Tierra gira alrededor del Sol,verdadero,ciencia,basico
107 ÷ 31 = 12,falso,matematicas,variaciones_matematicas
73 - 48 = 25,verdadero,matematicas,generador_masivo
30² = 919,falso,matematicas,variaciones_matematicas
91 + 75 + 25 = 198,falso,matematicas,variaciones_matematicas
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
85² = 7233,falso,matematicas,variaciones_matematicas
83 ÷ 54 = 1,verdadero,matematicas,variaciones_matematicas
57 - 22 = 35,verdadero,matematicas,generador_masivo
56 - 19 = 37,verdadero,matematicas,variaciones_matematicas
(17 + 17) × 6 = 204,verdadero,matematicas,variaciones_matematicas
El asteroide (2007 YZ) tiene un diámetro aproximado de 0.74 km,verdadero,astronomia,nasa
9 - 18 = 1,falso,matematicas,generador_masivo
72 - 3 = 70,falso,matematicas,generador_masivo
(39 + 71) × 11 = 1210,verdadero,matematicas,variaciones_matematicas
146 ÷ 5 = 29,verdadero,matematicas,variaciones_matematicas
155 + 3 = 173,falso,matematicas,variaciones_matematicas
16 + 46 = 72,falso,matematicas,generador_masivo
√22201 = 163,falso,matematicas,variaciones_matematicas
√16 = 4,verdadero,matematicas,variaciones_matematicas
√2116 = 56,falso,matematicas,variaciones_matematicas
25 - 32 = -7,verdadero,matematicas,generador_masivo
React no es una biblioteca de JavaScript,falso,tecnologia,variaciones_tecnologicas
La temperatura corporal normal no es 37°C,falso,ciencia,generador_masivo
98 ÷ 19 = 6,falso,matematicas,generador_masivo
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
119² = 14170,falso,matematicas,variaciones_matematicas
HTTPS no es HTTP con cifrado SSL/TLS,falso,tecnologia,tecnologia_adicional
36 ÷ 93 = 5,falso,matematicas,variaciones_matematicas
95 × 13 = 1235,verdadero,matematicas,generador_masivo
(22 + 46) × 34 = 2326,falso,matematicas,variaciones_matematicas
70 - 49 = 21,verdadero,matematicas,generador_masivo
(112 + 9) × 2 = 246,falso,matematicas,variaciones_matematicas
168 ÷ 64 = 3,falso,matematicas,variaciones_matematicas
103 - 96 = 7,verdadero,matematicas,variaciones_matematicas
10 + 36 = 52,falso,matematicas,generador_masivo
(133 + 12) × 39 = 5661,falso,matematicas,variaciones_matematicas
√6241 = 79,verdadero,matematicas,variaciones_matematicas
XML no es un lenguaje de marcado extensible,falso,tecnologia,tecnologia_adicional
(146 + 79) × 32 = 7209,falso,matematicas,variaciones_matematicas
66 × 39 = 2574,verdadero,matematicas,generador_masivo
146 ÷ 5 = 41,falso,matematicas,variaciones_matematicas
196² = 38416,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
9 ÷ 61 = 16,falso,matematicas,variaciones_matematicas
172 + 58 + 27 = 257,verdadero,matematicas,variaciones_matematicas
√900 = 30,verdadero,matematicas,variaciones_matematicas
25 ÷ 41 = 0,verdadero,matematicas,variaciones_matematicas
3 - 47 = -35,falso,matematicas,generador_masivo
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
√25 = 5,verdadero,matematicas,basico
(50 + 93) × 10 = 1450,falso,matematicas,variaciones_matematicas
√12100 = 121,falso,matematicas,variaciones_matematicas
(133 + 100) × 46 = 10733,falso,matematicas,variaciones_matematicas
93² = 8649,verdadero,matematicas,variaciones_matematicas
70 ÷ 40 = 8,falso,matematicas,generador_masivo
31 - 45 = -14,verdadero,matematicas,generador_masivo
√2704 = 52,verdadero,matematicas,variaciones_matematicas
92 - 14 = 78,verdadero,matematicas,generador_masivo
48 ÷ 41 = 4,falso,matematicas,generador_masivo
135 × 16 = 2167,falso,matematicas,variaciones_matematicas
85 ÷ 23 = 13,falso,matematicas,generador_masivo
El oxígeno no es necno esario para la rno espiración,falso,ciencia,basico
57 ÷ 4 = 14,verdadero,matematicas,generador_masivo
127 - 88 = 39,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
145 - 73 = 72,verdadero,matematicas,variaciones_matematicas
157 + 33 = 206,falso,matematicas,variaciones_matematicas
65² = 4225,verdadero,matematicas,variaciones_matematicas
119 + 2 + 41 = 162,verdadero,matematicas,variaciones_matematicas
124 + 55 = 185,falso,matematicas,variaciones_matematicas
128 + 46 + 31 = 205,verdadero,matematicas,variaciones_matematicas
47 ÷ 7 = 10,falso,matematicas,generador_masivo
25² = 625,verdadero,matematicas,variaciones_matematicas
178 + 59 + 19 = 270,falso,matematicas,variaciones_matematicas
"La velocidad de la luz no es 300,000 km/s",falso,ciencia,basico
21 × 29 = 614,falso,matematicas,variaciones_matematicas
81 + 38 = 119,verdadero,matematicas,variaciones_matematicas
15 × 19 = 285,verdadero,matematicas,generador_masivo
44² = 1936,verdadero,matematicas,variaciones_matematicas
158 ÷ 62 = 15,falso,matematicas,variaciones_matematicas
92² = 8466,falso,matematicas,variaciones_matematicas
La Segunda Guerra Mundial terminó en 1945,falso,historia,basico
99 - 28 = 71,verdadero,matematicas,generador_masivo
148 × 44 = 6512,verdadero,matematicas,variaciones_matematicas
118² = 13924,verdadero,matematicas,variaciones_matematicas
94 + 60 = 165,falso,matematicas,variaciones_matematicas
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
El corazón humano late 60-100 vecno es por minuto,falso,ciencia,generador_masivo
Berlín no es la capital de Alemania,falso,geografia,basico
Las plantas realizan fotosíntno esis,falso,ciencia,basico
69 + 45 + 48 = 175,falso,matematicas,variaciones_matematicas
La Edad Media duró del siglo V al XV,falso,historia,basico
1 - 7 = -6,verdadero,matematicas,generador_masivo
√17424 = 132,verdadero,matematicas,variaciones_matematicas
175² = 30625,verdadero,matematicas,variaciones_matematicas
√36864 = 192,verdadero,matematicas,variaciones_matematicas
46 ÷ 33 = 4,falso,matematicas,generador_masivo
√676 = 39,falso,matematicas,variaciones_matematicas
La fórmula del área de un cuadrado no es l²,falso,matematicas,matematicas_adicional
98 ÷ 12 = 8,verdadero,matematicas,variaciones_matematicas
58 - 74 = -16,verdadero,matematicas,variaciones_matematicas
51 + 16 = 77,falso,matematicas,generador_masivo
113² = 12769,verdadero,matematicas,variaciones_matematicas
78² = 6084,verdadero,matematicas,variaciones_matematicas
78 - 17 = 61,verdadero,matematicas,generador_masivo
π (pi) es aproximadamente 3.14159,verdadero,matematicas,matematicas_adicional
e (número de Euler) es aproximadamente 2.71828,verdadero,matematicas,matematicas_adicional
Mozart nació en 1756 en 1756,verdadero,historia,generador_masivo
14 - 47 = -25,falso,matematicas,generador_masivo
5 + 42 = 47,verdadero,matematicas,generador_masivo
112 × 24 = 2688,verdadero,matematicas,variaciones_matematicas
115 + 97 = 222,falso,matematicas,variaciones_matematicas
61 + 35 = 96,verdadero,matematicas,generador_masivo
√3 no es aproximadamente 1.73205,falso,matematicas,matematicas_adicional
Melbourne es una ciudad de Australia,verdadero,geografia,generador_masivo
79 + 45 = 124,verdadero,matematicas,variaciones_matematicas
118 - 29 = 89,verdadero,matematicas,variaciones_matematicas
SSH significa Safe Shell,falso,tecnologia,generador_masivo
√5184 = 74,falso,matematicas,variaciones_matematicas
La velocidad sonido es 343,verdadero,ciencia,generador_masivo
17 ÷ 30 = 4,falso,matematicas,generador_masivo
138 + 31 + 24 = 193,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
176² = 30976,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 206 huesos,verdadero,ciencia,generador_masivo
88 - 21 = 67,verdadero,matematicas,generador_masivo
43 + 44 = 96,falso,matematicas,generador_masivo
(12 + 27) × 39 = 1521,verdadero,matematicas,variaciones_matematicas
Shakespeare escribió Romeo y Julieta en 1660,falso,historia,generador_masivo
Redis no es una base de datos en memoria,falso,tecnologia,variaciones_tecnologicas
29 + 28 = 58,falso,matematicas,generador_masivo
27² = 729,verdadero,matematicas,variaciones_matematicas
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
96 ÷ 63 = 20,falso,matematicas,variaciones_matematicas
18 ÷ 10 = 10,falso,matematicas,generador_masivo
169 ÷ 12 = 29,falso,matematicas,variaciones_matematicas
173 - 87 = 86,verdadero,matematicas,variaciones_matematicas
81 - 90 = -9,verdadero,matematicas,variaciones_matematicas
43 + 85 + 33 = 172,falso,matematicas,variaciones_matematicas
La caída del Muro de Berlín no fue en 1989,falso,historia,basico
√1681 = 41,verdadero,matematicas,variaciones_matematicas
La Tierra gira alrededor del Sol,falso,ciencia,basico
145 - 73 = 81,falso,matematicas,variaciones_matematicas
19 + 50 = 69,verdadero,matematicas,generador_masivo
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
111 ÷ 3 = 37,verdadero,matematicas,variaciones_matematicas
(66 + 12) × 14 = 1106,falso,matematicas,variaciones_matematicas
56 + 24 = 80,verdadero,matematicas,generador_masivo
135 ÷ 45 = 3,verdadero,matematicas,variaciones_matematicas
86 - 48 = 43,falso,matematicas,variaciones_matematicas
92 × 47 = 4327,falso,matematicas,generador_masivo
(63 + 55) × 3 = 359,falso,matematicas,variaciones_matematicas
(145 + 19) × 16 = 2624,verdadero,matematicas,variaciones_matematicas
24 × 33 = 792,verdadero,matematicas,variaciones_matematicas
119 × 87 = 10371,falso,matematicas,variaciones_matematicas
80 - 28 = 52,verdadero,matematicas,generador_masivo
19 ÷ 49 = 0,verdadero,matematicas,generador_masivo
64 + 15 = 88,falso,matematicas,generador_masivo
(137 + 90) × 22 = 5001,falso,matematicas,variaciones_matematicas
3 ÷ 7 = 9,falso,matematicas,variaciones_matematicas
SMTP significa Simple Mail Transfer Protocol,verdadero,tecnologia,generador_masivo
√21316 = 146,verdadero,matematicas,variaciones_matematicas
146 ÷ 23 = 16,falso,matematicas,variaciones_matematicas
179 + 9 = 188,verdadero,matematicas,variaciones_matematicas
26 × 10 = 260,verdadero,matematicas,variaciones_matematicas
90 + 6 = 96,verdadero,matematicas,generador_masivo
√16 = 5,falso,matematicas,basico
195 - 3 = 192,verdadero,matematicas,variaciones_matematicas
54 ÷ 48 = 1,verdadero,matematicas,generador_masivo
173 + 64 + 15 = 252,verdadero,matematicas,variaciones_matematicas
23 ÷ 23 = 1,verdadero,matematicas,generador_masivo
52 × 27 = 1414,falso,matematicas,variaciones_matematicas
El asteroide (2011 YE40) tiene un diámetro aproximado de 0.05 km,verdadero,astronomia,nasa
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
Redis es una base de datos en memoria,verdadero,tecnologia,variaciones_tecnologicas
(101 + 9) × 3 = 333,falso,matematicas,variaciones_matematicas
14 - 16 = -1,falso,matematicas,generador_masivo
160² = 25608,falso,matematicas,variaciones_matematicas
99 + 11 = 114,falso,matematicas,generador_masivo
Río de Janeiro es una ciudad de Brasil,verdadero,geografia,generador_masivo
El agua hierve a 100°C,verdadero,ciencia,basico
144 + 50 = 211,falso,matematicas,variaciones_matematicas
25 - 20 = 5,verdadero,matematicas,variaciones_matematicas
133² = 17689,verdadero,matematicas,variaciones_matematicas
126 × 26 = 3276,verdadero,matematicas,variaciones_matematicas
187 + 77 = 264,verdadero,matematicas,variaciones_matematicas
105 - 28 = 79,falso,matematicas,variaciones_matematicas
Gandhi lideró la independencia de India en 1947,verdadero,historia,generador_masivo
8 - 34 = -26,verdadero,matematicas,generador_masivo
68 - 56 = 24,falso,matematicas,variaciones_matematicas
92 - 74 = 18,verdadero,matematicas,variaciones_matematicas
77 - 19 = 58,verdadero,matematicas,generador_masivo
√5625 = 75,verdadero,matematicas,variaciones_matematicas
√8836 = 95,falso,matematicas,variaciones_matematicas
176 ÷ 15 = 11,verdadero,matematicas,variaciones_matematicas
122 + 95 = 217,verdadero,matematicas,variaciones_matematicas
España está en Europa,verdadero,geografia,generador_masivo
63 × 49 = 3087,verdadero,matematicas,generador_masivo
(145 + 19) × 16 = 2644,falso,matematicas,variaciones_matematicas
1 + 16 = 21,falso,matematicas,generador_masivo
√9216 = 96,verdadero,matematicas,variaciones_matematicas
√7225 = 102,falso,matematicas,variaciones_matematicas
La independencia de EE.UU. fue en 1776,verdadero,historia,basico
Tokio es la capital de Japón,verdadero,geografia,generador_masivo
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
164 + 82 = 246,verdadero,matematicas,variaciones_matematicas
55 - 29 = 26,verdadero,matematicas,generador_masivo
41 - 95 = -35,falso,matematicas,variaciones_matematicas
39 ÷ 24 = 9,falso,matematicas,generador_masivo
83 ÷ 48 = 1,verdadero,matematicas,generador_masivo
167 ÷ 41 = 4,verdadero,matematicas,variaciones_matematicas
35 + 33 = 68,verdadero,matematicas,generador_masivo
115 ÷ 76 = 1,verdadero,matematicas,variaciones_matematicas
74 × 47 = 3485,falso,matematicas,generador_masivo
34 - 38 = 2,falso,matematicas,variaciones_matematicas
93² = 8655,falso,matematicas,variaciones_matematicas
√38025 = 195,verdadero,matematicas,variaciones_matematicas
"Egipto tiene una población de 110,864,136 habitantes",falso,geografia,generador_masivo
195 - 45 = 150,verdadero,matematicas,variaciones_matematicas
PostgreSQL no es una base de datos relacional,falso,tecnologia,variaciones_tecnologicas
El asteroide (2023 YR1) tiene un diámetro aproximado de 0.04 km,verdadero,astronomia,nasa
84 × 30 = 2520,verdadero,matematicas,generador_masivo
79 × 5 = 395,verdadero,matematicas,generador_masivo
98 ÷ 29 = 3,verdadero,matematicas,generador_masivo
(177 + 30) × 11 = 2284,falso,matematicas,variaciones_matematicas
176² = 30981,falso,matematicas,variaciones_matematicas
89 × 4 = 360,falso,matematicas,variaciones_matematicas
79 × 23 = 1817,verdadero,matematicas,generador_masivo
64 ÷ 38 = 1,verdadero,matematicas,generador_masivo
86 × 1 = 86,verdadero,matematicas,generador_masivo
61 ÷ 81 = 0,verdadero,matematicas,variaciones_matematicas
21 + 24 = 45,verdadero,matematicas,generador_masivo
97 ÷ 62 = 1,verdadero,matematicas,variaciones_matematicas
45 + 88 = 133,verdadero,matematicas,variaciones_matematicas
115 ÷ 76 = 8,falso,matematicas,variaciones_matematicas
93 - 9 = 84,verdadero,matematicas,generador_masivo
65 + 6 = 71,verdadero,matematicas,generador_masivo
83 × 41 = 3408,falso,matematicas,generador_masivo
56 - 19 = 45,falso,matematicas,variaciones_matematicas
√9216 = 96,verdadero,matematicas,variaciones_matematicas
90 + 42 = 132,verdadero,matematicas,generador_masivo
"El punto de fusión del hierro no es 1,538°C",falso,ciencia,ciencia_adicional
59 × 77 = 4559,falso,matematicas,variaciones_matematicas
137 - 97 = 53,falso,matematicas,variaciones_matematicas
√6400 = 80,verdadero,matematicas,variaciones_matematicas
57 × 12 = 689,falso,matematicas,variaciones_matematicas
79 × 37 = 2924,falso,matematicas,generador_masivo
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
37 - 93 = -53,falso,matematicas,variaciones_matematicas
4 + 70 = 83,falso,matematicas,variaciones_matematicas
47 + 37 = 84,verdadero,matematicas,generador_masivo
"Brasil tiene una población de 212,559,417 habitantes",verdadero,geografia,generador_masivo
197² = 38810,falso,matematicas,variaciones_matematicas
85 × 21 = 1788,falso,matematicas,generador_masivo
108 × 89 = 9612,verdadero,matematicas,variaciones_matematicas
75 + 53 = 146,falso,matematicas,variaciones_matematicas
113² = 12771,falso,matematicas,variaciones_matematicas
91 + 100 = 191,verdadero,matematicas,variaciones_matematicas
"El río Yenisei no tiene 5,539 km de longitud",falso,geografia,variaciones_geograficas
47 ÷ 62 = 11,falso,matematicas,variaciones_matematicas
24 + 35 = 67,falso,matematicas,variaciones_matematicas
77 + 58 = 135,verdadero,matematicas,variaciones_matematicas
(107 + 35) × 6 = 852,verdadero,matematicas,variaciones_matematicas
37 × 4 = 155,falso,matematicas,generador_masivo
107 × 27 = 2901,falso,matematicas,variaciones_matematicas
197 + 53 = 250,verdadero,matematicas,variaciones_matematicas
155 × 8 = 1240,verdadero,matematicas,variaciones_matematicas
188² = 35359,falso,matematicas,variaciones_matematicas
47 ÷ 7 = 6,verdadero,matematicas,generador_masivo
139 - 49 = 102,falso,matematicas,variaciones_matematicas
El oxigeno congelacion a -200°C,falso,ciencia,generador_masivo
145 × 96 = 13920,verdadero,matematicas,variaciones_matematicas
52 - 47 = 5,verdadero,matematicas,generador_masivo
24² = 576,verdadero,matematicas,variaciones_matematicas
"Italia tiene una población de 60,461,826 habitantes",verdadero,geografia,generador_masivo
143 + 47 = 193,falso,matematicas,variaciones_matematicas
107 + 58 = 165,verdadero,matematicas,variaciones_matematicas
Reino Unido está en Europa,verdadero,geografia,generador_masivo
El asteroide (2023 QC2) tiene un diámetro aproximado de 0.04 km,verdadero,astronomia,nasa
36 ÷ 93 = 0,verdadero,matematicas,variaciones_matematicas
113 ÷ 16 = 14,falso,matematicas,variaciones_matematicas
86 ÷ 49 = 12,falso,matematicas,variaciones_matematicas
147 + 10 = 157,verdadero,matematicas,variaciones_matematicas
Sudáfrica está en África,verdadero,geografia,generador_masivo
(144 + 37) × 16 = 2896,verdadero,matematicas,variaciones_matematicas
148 ÷ 87 = 19,falso,matematicas,variaciones_matematicas
157 + 43 = 214,falso,matematicas,variaciones_matematicas
46 ÷ 83 = 1,falso,matematicas,variaciones_matematicas
52 + 40 = 92,verdadero,matematicas,generador_masivo
92 - 14 = 84,falso,matematicas,generador_masivo
21² = 441,verdadero,matematicas,variaciones_matematicas
La velocidad sonido es 3.62e+02,falso,ciencia,generador_masivo
Brasilia no es la capital de Brasil,falso,geografia,generador_masivo
